"----------"," Entity 553807"," Report L00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[553807] Report(L00A181[00100])", , , , , , , , , , , , , , , , , , 
 ,"4861560", , , , , , , , , , , , , , , , , , 
 ,"481127", , , , , , , , , , , , , , , , , , 
 ,"642", , , , , , , , , , , , , , , , , , 
 ,"503", , , , , , , , , , , , , , , , , , 
 ,"25", , , , , , , , , , , , , , , , , , 
 ,"1203722", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"474974", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
