"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000002)","Entity[553807] Report(B000002[00000])","Entity[553807] Report(B000002[00100])","Entity[553807] Report(B000002[00200])", ,"Entity[553807] Report(B000002[00400])", ,"Entity[553807] Report(B000002[00600])","Entity[553807] Report(B000002[00700])","Entity[553807] Report(B000002[00800])","Entity[553807] Report(B000002[00900])", ,"Entity[553807] Report(B000002[01100])", , , , ,"Entity[553807] Report(B000002[01600])","Entity[553807] Report(B000002[01700])", , , ,"Entity[553807] Report(B000002[02100])", ,"Entity[553807] Report(B000002[02300])","Entity[553807] Report(B000002[02400])", ,"Entity[553807] Report(B000002[02600])"
"Line(03300)","66338","627254","166890", ,"577", ,"10847","11305","1016","6373", ,"9737", , , , ,"11682", , , , , , , ,"1212860", ,"1212860"
"Line(03500)","10187","364904","443658", ,"1117", ,"6310","6577","1204","17366", ,"16769", , , , ,"30224","9375", , , , , , ,"1430392", ,"1430392"
"Line(04000)","2946","1052630","80920", ,"879", ,"18202","18972","696","49276", ,"14116", , , , ,"38383","33937", , , , , , ,"1744151", ,"1744151"
"Line(04100)","35553","176755","51222", ,"153", ,"3056","3186","492","10484", ,"2921", , , , ,"8808","674", , , , , , ,"411814", ,"411814"
"Line(04300)", ,"162100", , ,"116", ,"2803","2922","501","2574", ,"2082", , , , ,"9828", , , , , , , ,"240924", ,"240924"
"Line(05000)","302047","1390743","4720034", ,"1388", ,"24049","25066","5279", , ,"20313", , , , , , , , , , , , ,"8055299", ,"8055299"
"Line(05100)","385","59095","187251", ,"341", ,"1022","1065","296", , ,"6059", , , , , , , , , , , , ,"407319", ,"407319"
"Line(05200)","67","280449","122935", ,"199", ,"4850","5055","1208","10637", ,"3627", , , , , , , , , , , , ,"555056", ,"555056"
"Line(05300)", ,"115460","723972", ,"82", ,"1997","2081", , , ,"717", , , , , , , , , , , , ,"944664", ,"944664"
"Line(05400)","447171","719261","1993064", ,"775", ,"12438","12964","853","13181", ,"14972", , , , , , , , , , , , ,"3740055", ,"3740055"
"Line(05500)","15294","730656","1411987", ,"602", ,"12635","13169","338", , ,"5924", , , , , , , , , , , , ,"2405233", ,"2405233"
"Line(05700)","12055","199836","861261", ,"275", ,"3456","3602","762", , ,"5035", , , , , , , , , , , , ,"1222790", ,"1222790"
"Line(05800)","13785","210356","869597", ,"206", ,"3638","3791","313","9555", ,"3428", , , , , , , , , , , , ,"1219050", ,"1219050"
"Line(06000)","1711139","975542","1248973", ,"2628", ,"16869","17583","54","3957", ,"52230", , , , , , , , , , , , ,"5180650", ,"5180650"
"Line(06300)", ,"85012","44082", ,"168", ,"1470","1532", , , ,"3008", , , , , , , , , , , , ,"329659", ,"329659"
"Line(06500)","90505","81461","361060", ,"395", ,"1409","1468", , , ,"7095", , , , , , , , , , , , ,"752585", ,"752585"
"Line(06600)","218762", ,"24436", ,"200", , , ,"6", , ,"3626", , , , , , , , , , , , ,"311470", ,"311470"
"Line(06700)","97698","20484","22482", ,"190", ,"354","369", , , ,"2625", , , , , , , , , , , , ,"204587", ,"204587"
"Line(06900)","937","24989","25431", ,"34", ,"432","450", , , ,"772", , , , , , , , , , , , ,"66502", ,"66502"
"Line(07000)","47403","55756","87771", ,"123", ,"964","1005", , , ,"1469", , , , , , , , , , , , ,"226081", ,"226081"
"Line(07200)", , , , , , , , , , , , , , , , , , , , , , , , ,"611602", ,"611602"
"Line(07300)", , , , , , , , , , , , , , , , , , , , , , , , ,"5229661", ,"5229661"
"Line(07400)","121","56153","3033", ,"9", ,"971","1012","93","1205", ,"112", , , , , , , , , , , , ,"99905", ,"99905"
"Line(07500)","3951298","465736","2433492", ,"823", ,"8054","8394","1092","11047", ,"15542", , , , ,"139070", , , , , , , ,"7730133", ,"7730133"
"Line(07601)","123049", ,"37225", ,"134", , , , , , ,"2575", , , , , , , , , , , , ,"223718", ,"223718"
"Line(07603)","225735","783153","2392255", ,"599", ,"13542","14115","630","2416", ,"9644", , , , , , , , , , , , ,"3844056", ,"3844056"
"Line(07605)","212915","242580","741128", ,"274", ,"4195","4372","109", , ,"4184", , , , , , , , , , , , ,"1312376", ,"1312376"
"Line(07606)","346246","967062","503061", ,"881", ,"16723","17430","270","30675", ,"13105", , , , ,"31430","7046", , , , , , ,"2275018", ,"2275018"
"Line(07608)", ,"17463","138979", ,"56", ,"302","315","35", , ,"841", , , , , , , , , , , , ,"221465", ,"221465"
"Line(07614)","85324","120972","437158", ,"247", ,"2092","2180","216", , ,"3785", , , , , , , , , , , , ,"754759", ,"754759"
"Line(07618)","550","378764","210207", ,"254", ,"6550","6827","497", , ,"3761", , , , , , , , , , , , ,"747134", ,"747134"
